Compound ID,SMILES,measured log(solubility:mol/L),ATSC6d,ATSC5Z,ATSC6Z,ATSC8Z,ATSC8se,ATSC5i,RPCS,Xch-3d,Mor24v,SMR_VSA9,nG12FHRing,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,GhoseFilter
p-Cresol,Cc1ccc(O)cc1,-0.73,1.0,54.359375,-40.6875,0.0,0.0,3.68807846999475,67.2136556076074,0.0,0.01648022975885071,5.749511833283905,0,0.0,0.0,0.0,0.0,0.0,0.0,False
tetramethylurea,CN(C)C(=O)N(C)C,0.94,3.2400000000000007,-147.84,174.24000000000007,0.0,0.0,-21.733825944504247,25.923651045475673,0.0,0.1922975279872802,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23,7.5,-219.22448979591837,34.97959183673469,0.0,0.0,7.56386248992187,29.238694899783326,0.0,0.07734037577329984,0.0,0,0.033730158730158735,0.0,0.0,0.0,0.0,0.0,True
"1,2-Dichloropropane",CC(Cl)CCl,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,100.66193928402787,0.0,-0.11145928755513189,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Reverse Transcriptase inhibitor 1,CCN2c1ncccc1N(C)C(=O)c3cccnc23,-2.62,-6.918273645546369,-247.33241505968778,-234.49127640036733,179.83379247015608,0.6853594233241525,0.08962411698746621,50.18713859878245,0.0,0.16477050671961252,0.0,1,0.025517241379310343,0.017589394732251875,0.004913076341647772,0.0,0.0,0.0,True
parabanic acid,O=C1NC(=O)C(=O)N1,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,46.366979294641325,0.0,0.02801379341483373,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Toluene,Cc1ccccc1,-2.21,0.653333333333333,18.66666666666667,16.333333333333336,0.0,0.0,4.081961474041872,120.16803199307022,0.0,0.021850245224426162,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2-Hexanone,CCCCC(=O)C,-0.8,1.0387811634349025,3.013850415512462,-42.43213296398893,0.0,0.0,-0.4516505909760054,20.754494475597877,0.0,0.060014458497617364,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Thiourea,NC(=S)N,0.32,0.0,0.0,0.0,0.0,0.0,0.0,35.32001870636922,0.0,-0.032817093370275996,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
Quintozene,Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82,2.0,26.306122448979565,-30.693877551020417,0.0,0.0,1.3601335026749743,5.420076017761938,0.0,-0.08798958716472861,0.0,0,0.026234567901234573,0.0,0.0,0.0,0.0,0.0,False
"2,4,5-Trichlorophenol ",Oc1cc(Cl)c(Cl)cc1Cl,-2.21,0.5917159763313609,127.58579881656806,-61.86390532544379,0.0,0.0,3.4404591487871112,65.23650643859965,0.0,-0.11723863753081043,5.749511833283905,0,0.0,0.0,0.0,0.0,0.0,0.0,False
