Compound ID,SMILES,ATSC6d,ATSC5Z,ATSC6Z,ATSC8Z,ATSC8se,ATSC5i,RPCS,Xch-3d,Mor24v,SMR_VSA9,nG12FHRing,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,GhoseFilter,measured log(solubility:mol/L)
Dimefuron,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-9.808956916099778,-14.63492063492061,-159.96371882086171,-594.0249433106577,-1.183224724489795,15.901800857001405,25.388561368452745,0.0,0.0243636170590884,5.687386274683562,0,0.0318425925925925,0.0302376022872917,0.0129390049670661,0.019904257999496,0.011763668430335,0.0126521412471825,True,-4.328
estriol,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O,6.800000000000004,5.648888888888901,63.53333333333335,-20.37333333333334,-0.2816793600000003,-5.3131844739401615,162.85446930849182,0.0,-0.318637590719007,5.749511833283905,0,0.0329333333333333,0.0302494331065759,0.0229439990281827,0.016572009462221,0.0191882716049382,0.0,True,-4.955
prednisolone acetate,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C,1.3412812410226953,46.96552714737149,76.47428899741452,-91.97098534903762,-2.1138470910657854,-18.841620763102625,35.44906774492936,0.0,-0.0686586827229612,0.0,0,0.0348015873015873,0.0291247165532879,0.0177206299186341,0.0171117829847988,0.0106408179012345,0.0111134656589202,True,-4.37
"2,4,5-Trichlorophenol ",Oc1cc(Cl)c(Cl)cc1Cl,0.5917159763313609,127.58579881656806,-61.86390532544379,0.0,0.0,3.4404591487871112,65.23650643859965,0.0,-0.1172386375308104,5.749511833283905,0,0.0,0.0,0.0,0.0,0.0,0.0,False,-2.21
Benzotriazole,c2ccc1[nH]nnc1c2,0.6173469387755104,-5.387755102040811,11.755102040816327,0.0,0.0,6.265814235769787,82.91385350710759,0.0,-0.03807191269554,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,-0.78
"1,3-Difluorobenzene",Fc1cccc(F)c1,0.0,-17.25,0.0,0.0,0.0,4.914704674999994,33.405639563443536,0.0,-0.0794362054904385,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,-2.0
Coronene,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-30.0,-8.333333333333337,-116.66666666666669,66.66666666666661,0.0632426666666658,-1.822304229482988,213.1268255604343,0.0,0.5946468511295158,0.0,0,0.0222222222222222,0.0081632653061224,0.0,0.0,0.0,0.0,False,-9.332
chlordimeform,CN(C)C=Nc1ccc(Cl)cc1C,-6.5,-112.0,-7.0,286.0,0.5932324999999996,-13.60132982368705,92.49193349853044,0.0,0.0367887911530984,0.0,0,0.040895061728395,0.015204081632653,0.0393518518518518,0.0,0.0,0.0,True,-2.86
Permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,3.463137996219282,-108.5349716446125,-406.21928166351614,-173.9338374291115,-0.6842622797731561,23.41487714650405,28.130861312056517,0.1666666666666666,0.0610898317710968,11.49902366656781,0,0.0179079861111111,0.0192290249433106,0.0106851234083376,0.0131366098628003,0.0089138741916519,0.0109514902107494,False,-6.291
Thalidomide,O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,-5.0820451843044,-91.8799048751486,-111.80737217598094,52.58026159334125,0.1897113436385254,8.966305281039913,42.62386020405988,0.0,0.102534911933626,0.0,0,0.0323188405797101,0.0192828798185941,0.0156309051398337,0.0147372606449987,0.0123456790123456,0.0,True,-2.676
Propylcyclopentane,CCCC1CCCC1,1.3333333333333324,-25.0,-3.3306690738754696e-15,0.0,0.0,-5.466912688449002,200.15727869832972,0.0,-0.0346146671822882,0.0,0,0.04,0.0,0.0,0.0,0.0,0.0,False,-4.74
1-Pentadecanol,CCCCCCCCCCCCCCCO,-0.239583333333333,0.7760416666666687,0.7604166666666694,0.7291666666666685,-0.0098177499999998,-0.5390172679889498,110.06372768947348,0.0,-0.0928709051374037,0.0,0,0.005050505050505,0.0040816326530612,0.0034722222222222,0.0030864197530864,0.0028571428571428,0.0027548209366391,True,-6.35
"1,3,5-Trinitrobenzene",O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,12.499999999999998,9.0,-12.0,0.0,0.0,8.158444383420726,37.30078677437315,0.0,0.0806028474266026,0.0,0,0.0578703703703703,0.0,0.0,0.0,0.0,0.0,False,-2.89
chloralose,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,1.5535714285714293,-141.74489795918367,85.78571428571428,-17.77551020408165,0.4927321096938775,-3.5059653806841604,0.0,0.0,-0.1537183970129393,0.0,0,0.0353819444444444,0.0311688311688311,0.0358796296296296,0.0105820105820105,0.0,0.0,False,-1.84
Flumethasone,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,8.075407817790078,-180.3684210526315,208.8307171437365,-42.46014158202523,-0.2070119999999997,-38.764277693261285,175.9897328522242,0.0,0.0074956231602685,0.0,0,0.0409970238095238,0.0314706835114998,0.020563173185941,0.0149339196958244,0.0119422398589065,0.0094305245820397,True,-5.613
Biphenyl,c1ccc(cc1)c2ccccc2,0.0661157024793399,-10.743801652892566,-19.00826446280993,17.35537190082644,0.0164639999999997,-2.3494170231351026,131.93277245491555,0.0,-0.0309487224469301,11.126902983393991,0,0.0173611111111111,0.0195918367346938,0.0,0.0,0.0,0.0,False,-4.345
Tricyclazole,Cc2cccc3sc1nncn1c23,4.272500000000002,-201.76999999999995,33.510000000000026,0.0,0.0,-38.248686860194354,36.814323694958354,0.0,-0.0486057172571918,0.0,1,0.0248412698412698,0.0,0.0,0.0,0.0,0.0,True,-2.07
Rovral,CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,-9.879757785467127,-220.0,213.0,71.0,0.7513391833910035,18.15875179250076,30.751613538301047,0.0,0.105218270428282,0.0,0,0.0343415637860082,0.0202581545438688,0.0194978632478632,0.0085453934660283,0.0177678571428571,0.0041152263374485,True,-4.376
Propiconazole,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-10.111111111111107,-37.98422090729783,4.902695595003275,-116.34976988823144,-0.3318237028270918,-0.8760902167472673,0.0,0.0,-0.1153861008847841,0.0,0,0.0309722222222222,0.0123522297808012,0.015194998453927,0.0113572494524875,0.0141679526748971,0.0,True,-3.493
Acetanilide,CC(=O)Nc1ccccc1,0.2770083102493084,-35.87534626038782,-10.3240997229917,23.34349030470914,0.0696965318559553,-4.172382410066184,18.796954488711886,0.0,-0.0487975064081051,0.0,0,0.0236111111111111,0.04,0.0,0.0,0.0,0.0,False,-1.33
Acetonitrile,CC#N,0.0,0.0,0.0,0.0,0.0,0.0,102.46833041642886,0.0,0.0375780855931456,6.069221312792274,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.26
Xipamide,Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O,2.1433518005540173,76.03324099722994,211.4459833795013,62.22160664819944,-0.8304773518005537,-20.08197849024606,167.9363396576807,0.0,-0.0115138327561582,5.749511833283905,0,0.0441468253968254,0.0154539057002111,0.0160195707070707,0.0242139740886608,0.0057986111111111,0.0123456790123456,True,-3.79
Mebendazole,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,-2.261224489795919,-13.44000000000001,-31.6,-47.2,-0.6196173061224485,-7.270837166491056,55.49805901198498,0.0,-0.0004940231655913,0.0,0,0.0273931623931623,0.0188859311840678,0.0139839927198949,0.0116814913796206,0.0081818181818181,0.0059631103402147,True,-3.88
p-Chloroaniline,Nc1ccc(Cl)cc1,0.6530612244897959,101.3061224489796,-91.26530612244898,0.0,0.0,3.773167265834123,111.27985010134256,0.0,-0.0971004006549762,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,-1.66
